Decile Change 2014 to 2015 for State & State Integrated Schools,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Inst #,School Name,2014 Decile,"2014 Step",2015 Decile,"2015  Step",Decile Change,Step Change,"July 2014 Funding roll Years 9+","July 2014 Funding roll Total ",School Type,Authority,Territorial Local Authority,Regional Council,Ministry of Education Local Office,General Electorate,M_ori Electorate
2417,Owhango School,5,M,4,L,-1,-1,0,60,Full Primary,State,Ruapehu District,Manawatu-Wanganui Region,Hamilton,Rangitikei,Te Tai Hauauru
1881,Owhata School,3,G,2,E,-1,-2,0,178,Contributing,State,Rotorua District,Bay of Plenty Region,Rotorua,Rotorua,Waiariki
2942,Owhiro Bay School,9,Q,9,Q,0,0,0,124,Contributing,State,Wellington City,Wellington Region,Wellington,Rongotai,Te Tai Tonga
310,Oxford Area School,7,O,7,O,0,0,185,534,Composite (Year 1-15),State,Waimakariri District,Canterbury Region,Christchurch,Waimakariri,Te Tai Tonga
2943,Oxford Crescent School,6,N,6,N,0,0,0,261,Contributing,State,Upper Hutt City,Wellington Region,Wellington,Rimutaka,Ikaroa-Rawhiti
2944,Paekakariki School,7,O,7,O,0,0,0,166,Full Primary,State,Kapiti Coast District,Wellington Region,Wellington,Mana,Te Tai Hauauru
1882,Paengaroa School,4,L,4,J,0,-2,0,198,Contributing,State,Western Bay of Plenty District,Bay of Plenty Region,Rotorua,East Coast,Waiariki
1414,Paerata School,4,L,1,B,-3,-10,0,91,Full Primary,State,Auckland- Franklin,Auckland Region,Auckland South,Hunua,Hauraki-Waikato
1883,Paeroa Central School,1,C,2,D,1,1,0,80,Full Primary,State,Hauraki District,Waikato Region,Hamilton,Coromandel,Hauraki-Waikato
1169,Paeroa Christian School,3,G,3,H,0,1,0,46,Full Primary,State: Integrated,Hauraki District,Waikato Region,Hamilton,Coromandel,Hauraki-Waikato
113,Paeroa College,2,F,2,F,0,0,247,247,Secondary (Year 9-15),State,Hauraki District,Waikato Region,Hamilton,Coromandel,Hauraki-Waikato
2945,Pahiatua School,3,H,4,K,1,3,0,289,Full Primary,State,Tararua District,Manawatu-Wanganui Region,Wellington,Wairarapa,Ikaroa-Rawhiti
1884,Pahoia School,8,P,9,Q,1,1,0,205,Contributing,State,Western Bay of Plenty District,Bay of Plenty Region,Rotorua,Bay of Plenty,Waiariki
1072,Paihia School,4,J,4,J,0,0,0,171,Full Primary,State,Far North District,Northland Region,Whangarei,Northland,Te Tai Tokerau
1073,Pakaraka School,2,E,1,A,-1,-4,0,59,Full Primary,State,Far North District,Northland Region,Whangarei,Northland,Te Tai Tokerau
1074,Pakiri School,5,M,4,K,-1,-2,0,13,Full Primary,State,Auckland- Rodney,Auckland Region,Auckland North,Northland,Te Tai Tokerau
1075,Pakotai School,2,D,2,F,0,2,0,22,Full Primary,State,Whangarei District,Northland Region,Whangarei,Northland,Te Tai Tokerau
2638,Pakowhai School,3,I,5,M,2,4,0,45,Contributing,State,Hastings District,Hawkes Bay Region,Napier,Tukituki,Ikaroa-Rawhiti
80,Pakuranga College,8,P,7,O,-1,-1,1919,1919,Secondary (Year 9-15),State,Auckland- Howick,Auckland Region,Auckland South,Pakuranga,Tamaki Makaurau
1416,Pakuranga Heights School,6,N,4,L,-2,-2,0,471,Contributing,State,Auckland- Howick,Auckland Region,Auckland South,Pakuranga,Tamaki Makaurau
1417,Pakuranga Intermediate,4,K,3,I,-1,-2,0,276,Intermediate,State,Auckland- Howick,Auckland Region,Auckland South,Pakuranga,Tamaki Makaurau
4126,Palmerston North Adventist Christian School,5,M,3,I,-2,-4,0,80,Contributing,State: Integrated,Palmerston North City,Manawatu-Wanganui Region,Whanganui,Palmerston North,Te Tai Hauauru
202,Palmerston North Boys' High School,9,Q,8,P,-1,-1,1704,1704,Secondary (Year 9-15),State,Palmerston North City,Manawatu-Wanganui Region,Whanganui,Palmerston North,Te Tai Hauauru
203,Palmerston North Girls' High School,9,Q,8,P,-1,-1,1235,1235,Secondary (Year 9-15),State,Palmerston North City,Manawatu-Wanganui Region,Whanganui,Palmerston North,Te Tai Hauauru
2419,Palmerston North Intermediate,9,Q,8,P,-1,-1,0,688,Intermediate,State,Palmerston North City,Manawatu-Wanganui Region,Whanganui,Palmerston North,Te Tai Hauauru
3797,Palmerston School,6,N,6,N,0,0,0,115,Contributing,State,Waitaki District,Otago Region,Dunedin,Dunedin North,Te Tai Tonga
1076,Pamapuria School,2,F,2,D,0,-2,0,110,Full Primary,State,Far North District,Northland Region,Whangarei,Northland,Te Tai Tokerau
1418,Panama Road School,1,C,1,A,0,-2,0,222,Contributing,State,Auckland- Maungakiekie-Tamaki,Auckland Region,Auckland South,Maungakiekie,Tamaki Makaurau
1419,Panmure Bridge School,1,C,1,A,0,-2,0,219,Full Primary,State,Auckland- Maungakiekie-Tamaki,Auckland Region,Auckland South,Maungakiekie,Tamaki Makaurau
1420,Panmure District School,3,G,2,D,-1,-3,0,134,Full Primary,State,Auckland- Maungakiekie-Tamaki,Auckland Region,Auckland South,Maungakiekie,Tamaki Makaurau
3798,Papakaio School,8,P,9,Q,1,1,0,136,Full Primary,State,Waitaki District,Otago Region,Dunedin,Waitaki,Te Tai Tonga
2946,Papakowhai School,9,Q,10,Z,1,1,0,356,Full Primary,State,Porirua City,Wellington Region,Wellington,Mana,Te Tai Hauauru
1421,Papakura Central School,5,M,4,K,-1,-2,0,341,Contributing,State,Auckland- Papakura,Auckland Region,Auckland South,Papakura,Hauraki-Waikato
101,Papakura High School,2,E,1,B,-1,-3,737,737,Secondary (Year 9-15),State,Auckland- Papakura,Auckland Region,Auckland South,Papakura,Hauraki-Waikato
1423,Papakura Normal School,3,I,3,G,0,-2,0,634,Full Primary,State,Auckland- Papakura,Auckland Region,Auckland South,Papakura,Hauraki-Waikato
6963,Papamoa College,5,M,6,N,1,1,517,810,Secondary (Year 7-15),State,Tauranga City,Bay of Plenty Region,Rotorua,Bay of Plenty,Waiariki
1885,Papamoa Primary School,6,N,6,N,0,0,0,500,Contributing,State,Tauranga City,Bay of Plenty Region,Rotorua,Bay of Plenty,Waiariki
316,Papanui High School,6,N,7,O,1,1,1425,1425,Secondary (Year 9-15),State,Christchurch City,Canterbury Region,Christchurch,Christchurch Central,Te Tai Tonga
2420,Papanui Junction School,5,M,6,N,1,1,0,13,Full Primary,State,Rangitikei District,Manawatu-Wanganui Region,Whanganui,Rangitikei,Te Tai Hauauru
3466,Papanui School,5,M,6,N,1,1,0,224,Contributing,State,Christchurch City,Canterbury Region,Christchurch,Christchurch Central,Te Tai Tonga
2947,Paparangi School,9,Q,9,Q,0,0,0,186,Contributing,State,Wellington City,Wellington Region,Wellington,Ohariu,Te Tai Tonga
1425,Paparimu School,9,Q,10,Z,1,1,0,24,Full Primary,State,Auckland- Franklin,Auckland Region,Auckland South,Hunua,Hauraki-Waikato
2106,Paparoa Range School,3,G,5,M,2,6,0,99,Full Primary,State,Grey District,West Coast Region,Nelson,West Coast-Tasman,Te Tai Tonga
1077,Paparoa School,4,L,5,M,1,1,0,41,Contributing,State,Kaipara District,Northland Region,Whangarei,Northland,Te Tai Tokerau
3467,Paparoa Street School,10,Z,10,Z,0,0,0,578,Contributing,State,Christchurch City,Canterbury Region,Christchurch,Christchurch Central,Te Tai Tonga
1078,Paparore School,3,G,3,G,0,0,0,146,Contributing,State,Far North District,Northland Region,Whangarei,Northland,Te Tai Tokerau
2640,Papatawa School,3,G,4,L,1,5,0,35,Full Primary,State,Tararua District,Manawatu-Wanganui Region,Wellington,Wairarapa,Ikaroa-Rawhiti
1426,Papatoetoe Central School,4,J,4,J,0,0,0,679,Contributing,State,Auckland- Otara-Papatoetoe,Auckland Region,Auckland South,Manukau East,Tamaki Makaurau
1427,Papatoetoe East School,3,G,2,F,-1,-1,0,500,Contributing,State,Auckland- Otara-Papatoetoe,Auckland Region,Auckland South,Manukau East,Tamaki Makaurau
95,Papatoetoe High School,3,I,3,H,0,-1,1565,1565,Secondary (Year 9-15),State,Auckland- Otara-Papatoetoe,Auckland Region,Auckland South,Manukau East,Tamaki Makaurau
1428,Papatoetoe Intermediate,3,G,2,F,-1,-1,0,732,Intermediate,State,Auckland- Otara-Papatoetoe,Auckland Region,Auckland South,Manukau East,Tamaki Makaurau
1429,Papatoetoe North School,3,G,2,F,-1,-1,0,780,Contributing,State,Auckland- Otara-Papatoetoe,Auckland Region,Auckland South,Mangere,Tamaki Makaurau
1430,Papatoetoe South School,2,F,2,F,0,0,0,572,Contributing,State,Auckland- Otara-Papatoetoe,Auckland Region,Auckland South,Manukau East,Tamaki Makaurau
1431,Papatoetoe West School,3,G,2,F,-1,-1,0,785,Contributing,State,Auckland- Otara-Papatoetoe,Auckland Region,Auckland South,Manukau East,Tamaki Makaurau
1432,Parakai School,3,I,3,I,0,0,0,154,Full Primary,State,Auckland- Rodney,Auckland Region,Auckland North,Helensville,Te Tai Tokerau
2948,Paraparaumu Beach School,9,Q,8,P,-1,-1,0,650,Full Primary,State,Kapiti Coast District,Wellington Region,Wellington,Otaki,Te Tai Hauauru
248,Paraparaumu College,8,P,8,P,0,0,1127,1127,Secondary (Year 9-15),State,Kapiti Coast District,Wellington Region,Wellington,Otaki,Te Tai Hauauru
2949,Paraparaumu School,6,N,5,M,-1,-1,0,158,Full Primary,State,Kapiti Coast District,Wellington Region,Wellington,Mana,Te Tai Hauauru
1886,Parawai School,6,N,5,M,-1,-1,0,238,Full Primary,State,Thames-Coromandel District,Waikato Region,Hamilton,Coromandel,Hauraki-Waikato
2950,Paremata School,9,Q,9,Q,0,0,0,368,Full Primary,State,Porirua City,Wellington Region,Wellington,Mana,Te Tai Hauauru
1434,Park Estate School,1,C,1,B,0,-1,0,129,Contributing,State,Auckland- Papakura,Auckland Region,Auckland South,Papakura,Hauraki-Waikato
2424,Parkland School (P North),7,O,7,O,0,0,0,303,Contributing,State,Palmerston North City,Manawatu-Wanganui Region,Whanganui,Palmerston North,Te Tai Hauauru
3213,Parklands School (Motueka),3,H,3,I,0,1,0,269,Full Primary,State,Tasman District,Tasman Region,Nelson,West Coast-Tasman,Te Tai Tonga
4107,Parkside Christian S D A School,3,G,3,I,0,2,0,31,Full Primary,State: Integrated,Napier City,Hawkes Bay Region,Napier,Napier,Ikaroa-Rawhiti
1435,Parkside School,5,M,5,M,0,0,73,125,Special School,State,Auckland- Franklin,Auckland Region,Auckland South,Hunua,Hauraki-Waikato
2641,Parkvale School,5,M,4,K,-1,-2,0,536,Contributing,State,Hastings District,Hawkes Bay Region,Napier,Tukituki,Ikaroa-Rawhiti
3470,Parkview School,5,M,6,N,1,1,0,313,Full Primary,State,Christchurch City,Canterbury Region,Christchurch,Christchurch East,Te Tai Tonga
1436,Parnell School,10,Z,9,Q,-1,-1,0,479,Full Primary,State,Auckland- Waitemata,Auckland Region,Auckland South,Epsom,Tamaki Makaurau
3472,Paroa School (Greymouth),6,N,9,Q,3,3,0,182,Full Primary,State,Grey District,West Coast Region,Nelson,West Coast-Tasman,Te Tai Tonga
1080,Parua Bay School,9,Q,9,Q,0,0,0,256,Full Primary,State,Whangarei District,Northland Region,Whangarei,Whangarei,Te Tai Tokerau
1437,Pasadena Intermediate,6,N,8,P,2,2,0,250,Intermediate,State,Auckland- Albert-Eden,Auckland Region,Auckland South,Mt Albert,Tamaki Makaurau
185,Patea Area School,1,B,1,B,0,0,61,116,Composite (Year 1-15),State,South Taranaki District,Taranaki Region,Whanganui,Whanganui,Te Tai Hauauru
1889,Paterangi School,8,P,7,O,-1,-1,0,81,Full Primary,State,Waipa District,Waikato Region,Hamilton,Taranaki-King Country,Hauraki-Waikato
2642,Patoka School,8,P,9,Q,1,1,0,67,Full Primary,State,Hastings District,Hawkes Bay Region,Napier,Napier,Ikaroa-Rawhiti
1891,Patricia Avenue School,5,M,4,L,-1,-1,68,159,Special School,State,Hamilton City,Waikato Region,Hamilton,Hamilton East,Hauraki-Waikato
1438,Patumahoe Primary School,8,P,8,P,0,0,0,314,Contributing,State,Auckland- Franklin,Auckland Region,Auckland South,Hunua,Hauraki-Waikato
2643,Patutahi School,1,C,3,G,2,4,0,28,Full Primary,State,Gisborne District,Gisborne Region,Napier,East Coast,Ikaroa-Rawhiti
2953,Pauatahanui School,10,Z,10,Z,0,0,0,172,Full Primary,State,Porirua City,Wellington Region,Wellington,Mana,Te Tai Hauauru
1892,Peachgrove Intermediate,5,M,5,M,0,0,0,516,Intermediate,State,Hamilton City,Waikato Region,Hamilton,Hamilton East,Hauraki-Waikato
3570,Pegasus Bay School,7,O,10,Z,3,3,0,287,Full Primary,State,Waimakariri District,Canterbury Region,Christchurch,Waimakariri,Te Tai Tonga
1893,Pekerau School,4,K,4,J,0,-1,0,346,Contributing,State,Waipa District,Waikato Region,Hamilton,Taranaki-King Country,Hauraki-Waikato
2220,Pembroke School,6,N,6,N,0,0,0,51,Full Primary,State,Stratford District,Taranaki Region,Whanganui,Taranaki-King Country,Te Tai Hauauru
3737,Pembroke School (Oamaru),3,G,3,H,0,1,0,224,Contributing,State,Waitaki District,Otago Region,Dunedin,Waitaki,Te Tai Tonga
1531,Peninsula Primary School,5,M,5,M,0,0,0,382,Contributing,State,Auckland- Henderson-Massey,Auckland Region,Auckland North,Te Atatu,Te Tai Tokerau
1081,Peria School,2,D,3,G,1,3,0,35,Full Primary,State,Far North District,Northland Region,Whangarei,Northland,Te Tai Tokerau
2644,Peterhead School,1,A,1,B,0,1,0,514,Full Primary,State,Hastings District,Hawkes Bay Region,Napier,Tukituki,Ikaroa-Rawhiti
2955,Petone Central School,5,M,4,L,-1,-1,0,115,Full Primary,State,Lower Hutt City,Wellington Region,Wellington,Hutt South,Te Tai Tonga
2956,Picton School,3,I,5,M,2,4,0,140,Contributing,State,Marlborough District,Marlborough Region,Nelson,Kaikoura,Te Tai Tonga
1439,Pigeon Mountain School,9,Q,8,P,-1,-1,0,504,Contributing,State,Auckland- Howick,Auckland Region,Auckland South,Pakuranga,Tamaki Makaurau
1894,Pillans Point School,9,Q,8,P,-1,-1,0,436,Contributing,State,Tauranga City,Bay of Plenty Region,Rotorua,Tauranga,Waiariki
3801,Pine Hill School (Dunedin),3,H,3,I,0,1,0,44,Contributing,State,Dunedin City,Otago Region,Dunedin,Dunedin North,Te Tai Tonga
2957,Pinehaven School,10,Z,10,Z,0,0,0,240,Contributing,State,Upper Hutt City,Wellington Region,Wellington,Rimutaka,Ikaroa-Rawhiti
6932,Pinehill School (Browns Bay),10,Z,8,P,-2,-2,0,452,Contributing,State,Auckland- Upper Harbour,Auckland Region,Auckland North,East Coast Bays,Te Tai Tokerau
162,Piopio College,4,J,5,M,1,3,132,184,Secondary (Year 7-15),State,Waitomo District,Waikato Region,Hamilton,Taranaki-King Country,Te Tai Hauauru
1895,Piopio Primary School,5,M,5,M,0,0,0,126,Contributing,State,Waitomo District,Waikato Region,Hamilton,Taranaki-King Country,Te Tai Hauauru
1896,Piri Piri School,4,K,5,M,1,2,0,17,Full Primary,State,Waitomo District,Waikato Region,Hamilton,Taranaki-King Country,Te Tai Hauauru
2958,Pirinoa School,6,N,10,Z,4,4,0,27,Full Primary,State,South Wairarapa District,Wellington Region,Wellington,Wairarapa,Ikaroa-Rawhiti
1897,Pirongia School,9,Q,10,Z,1,1,0,295,Full Primary,State,Waipa District,Waikato Region,Hamilton,Taranaki-King Country,Hauraki-Waikato
3476,Pitt Island School,6,N,9,Q,3,3,0,3,Full Primary,State,Chatham Islands Territory,Chatham Is. County,Christchurch,Rongotai,Te Tai Tonga
2959,Plateau School,9,Q,8,P,-1,-1,0,170,Contributing,State,Upper Hutt City,Wellington Region,Wellington,Rimutaka,Ikaroa-Rawhiti
3477,Pleasant Point Primary School,8,P,8,P,0,0,0,279,Full Primary,State,Timaru District,Canterbury Region,Christchurch,Rangitata,Te Tai Tonga
2960,Plimmerton School,10,Z,10,Z,0,0,0,519,Full Primary,State,Porirua City,Wellington Region,Wellington,Mana,Te Tai Hauauru
6921,Point View School,10,Z,9,Q,-1,-1,0,799,Contributing,State,Auckland- Howick,Auckland Region,Auckland South,Botany,Tamaki Makaurau
1442,Pokeno School,4,L,4,J,0,-2,0,136,Full Primary,State,Waikato District,Waikato Region,Auckland South,Waikato,Hauraki-Waikato
1898,Pokuru School,6,N,6,N,0,0,0,111,Contributing,State,Waipa District,Waikato Region,Hamilton,Taranaki-King Country,Te Tai Hauauru
2961,Pomare School,1,B,1,C,0,1,0,82,Contributing,State,Lower Hutt City,Wellington Region,Wellington,Rimutaka,Ikaroa-Rawhiti
1444,Pomaria Road School,2,F,3,G,1,1,0,455,Contributing,State,Auckland- Henderson-Massey,Auckland Region,Auckland North,Te Atatu,Te Tai Tokerau
17,Pompallier Catholic College,7,O,7,O,0,0,355,490,Secondary (Year 7-15),State: Integrated,Whangarei District,Northland Region,Whangarei,Whangarei,Te Tai Tokerau
1082,Pompallier Catholic School,3,G,3,G,0,0,0,164,Full Primary,State: Integrated,Far North District,Northland Region,Whangarei,Northland,Te Tai Tokerau
528,Ponatahi Christian School,7,O,8,P,1,1,27,88,Composite (Year 1-15),State: Integrated,Carterton District,Wellington Region,Wellington,Wairarapa,Ikaroa-Rawhiti
1899,Pongakawa School,5,M,6,N,1,1,0,293,Full Primary,State,Western Bay of Plenty District,Bay of Plenty Region,Rotorua,East Coast,Waiariki
2962,Pongaroa School,6,N,4,L,-2,-2,0,51,Full Primary,State,Tararua District,Manawatu-Wanganui Region,Wellington,Wairarapa,Ikaroa-Rawhiti
1445,Ponsonby Intermediate,9,Q,9,Q,0,0,0,548,Intermediate,State,Auckland- Waitemata,Auckland Region,Auckland South,Auckland Central,Tamaki Makaurau
1446,Ponsonby Primary School,10,Z,10,Z,0,0,0,369,Contributing,State,Auckland- Waitemata,Auckland Region,Auckland South,Auckland Central,Tamaki Makaurau
3802,Poolburn School,10,Z,10,Z,0,0,0,35,Full Primary,State,Central Otago District,Otago Region,Dunedin,Waitaki,Te Tai Tonga
2646,Porangahau School,2,F,2,F,0,0,0,38,Full Primary,State,Central Hawke's Bay District,Hawkes Bay Region,Napier,Wairarapa,Ikaroa-Rawhiti
255,Porirua College,1,A,1,B,0,1,544,544,Secondary (Year 9-15),State,Porirua City,Wellington Region,Wellington,Mana,Te Tai Hauauru
2963,Porirua East School,2,F,3,G,1,1,0,120,Contributing,State,Porirua City,Wellington Region,Wellington,Mana,Te Tai Hauauru
2964,Porirua School,2,F,2,D,0,-2,0,150,Contributing,State,Porirua City,Wellington Region,Wellington,Mana,Te Tai Hauauru
1083,Poroti School,6,N,7,O,1,1,0,14,Full Primary,State,Whangarei District,Northland Region,Whangarei,Whangarei,Te Tai Tokerau
2965,Poroutawhao School,5,M,5,M,0,0,0,123,Full Primary,State,Horowhenua District,Manawatu-Wanganui Region,Wellington,Otaki,Te Tai Hauauru
2647,Porritt School,4,K,4,J,0,-1,0,250,Contributing,State,Napier City,Hawkes Bay Region,Napier,Napier,Ikaroa-Rawhiti
2648,Port Ahuriri School,6,N,7,O,1,1,0,269,Contributing,State,Napier City,Hawkes Bay Region,Napier,Napier,Ikaroa-Rawhiti
3803,Port Chalmers School,5,M,6,N,1,1,0,116,Full Primary,State,Dunedin City,Otago Region,Dunedin,Dunedin North,Te Tai Tonga
1084,Portland School,2,F,1,B,-1,-4,0,35,Contributing,State,Whangarei District,Northland Region,Whangarei,Whangarei,Te Tai Tokerau
3805,Portobello School,8,P,8,P,0,0,0,98,Full Primary,State,Dunedin City,Otago Region,Dunedin,Dunedin South,Te Tai Tonga
2966,Postgate School,4,J,3,H,-1,-2,0,309,Full Primary,State,Porirua City,Wellington Region,Wellington,Mana,Te Tai Hauauru
2649,Potaka School,1,C,2,E,1,2,0,12,Full Primary,State,Gisborne District,Gisborne Region,Napier,East Coast,Ikaroa-Rawhiti
2650,Poukawa School,3,I,6,N,3,5,0,92,Full Primary,State,Hastings District,Hawkes Bay Region,Napier,Tukituki,Ikaroa-Rawhiti
1085,Pouto School,4,J,2,F,-2,-4,0,18,Full Primary,State,Kaipara District,Northland Region,Whangarei,Northland,Te Tai Tokerau
3478,Prebbleton School,10,Z,10,Z,0,0,0,463,Full Primary,State,Selwyn District,Canterbury Region,Christchurch,Selwyn,Te Tai Tonga
1447,Prospect School,3,H,2,D,-1,-4,0,325,Contributing,State,Auckland- Waitakere Ranges,Auckland Region,Auckland North,Kelston,Tamaki Makaurau
1440,Pt Chevalier School,8,P,10,Z,2,2,0,675,Contributing,State,Auckland- Albert-Eden,Auckland Region,Auckland South,Mt Albert,Tamaki Makaurau
1441,Pt England School,1,A,1,A,0,0,0,625,Full Primary,State,Auckland- Maungakiekie-Tamaki,Auckland Region,Auckland South,Maungakiekie,Tamaki Makaurau
1902,Puahue School,7,O,8,P,1,1,0,119,Contributing,State,Waipa District,Waikato Region,Hamilton,Taranaki-King Country,Hauraki-Waikato
1448,Puhinui School,3,I,3,H,0,-1,0,587,Contributing,State,Auckland- Otara-Papatoetoe,Auckland Region,Auckland South,Manurewa,Tamaki Makaurau
2846,Pukeatua Primary School (Wainuiomata),2,F,3,G,1,1,0,184,Full Primary,State,Lower Hutt City,Wellington Region,Wellington,Hutt South,Ikaroa-Rawhiti
1903,Pukeatua School,7,O,8,P,1,1,0,64,Full Primary,State,Waipa District,Waikato Region,Hamilton,Taranaki-King Country,Te Tai Hauauru
2651,Pukehamoamoa School,3,I,7,O,4,6,0,99,Full Primary,State,Hastings District,Hawkes Bay Region,Napier,Tukituki,Ikaroa-Rawhiti
1904,Pukehina School,3,I,5,M,2,4,0,23,Full Primary,State,Western Bay of Plenty District,Bay of Plenty Region,Rotorua,East Coast,Waiariki
2652,Pukehou School,5,M,6,N,1,1,0,96,Full Primary,State,Central Hawke's Bay District,Hawkes Bay Region,Napier,Tukituki,Ikaroa-Rawhiti
1449,Pukekawa School,8,P,8,P,0,0,0,99,Contributing,State,Waikato District,Waikato Region,Auckland South,Waikato,Hauraki-Waikato
1450,Pukekohe East School,9,Q,10,Z,1,1,0,151,Contributing,State,Auckland- Franklin,Auckland Region,Auckland South,Hunua,Hauraki-Waikato
103,Pukekohe High School,6,N,6,N,0,0,1547,1547,Secondary (Year 9-15),State,Auckland- Franklin,Auckland Region,Auckland South,Hunua,Hauraki-Waikato
1451,Pukekohe Hill School,6,N,5,M,-1,-1,0,620,Contributing,State,Auckland- Franklin,Auckland Region,Auckland South,Hunua,Hauraki-Waikato
1452,Pukekohe Intermediate,6,N,5,M,-1,-1,0,634,Intermediate,State,Auckland- Franklin,Auckland Region,Auckland South,Hunua,Hauraki-Waikato
